iter	Passed	Remaining
683	2168	10513
684	2171	10508
685	2174	10505
686	2177	10500
687	2180	10495
688	2182	10488
689	2185	10483
690	2188	10478
691	2191	10474
692	2193	10468
693	2196	10462
694	2199	10457
695	2201	10451
696	2204	10447
697	2207	10441
698	2209	10436
699	2212	10431
700	2215	10426
701	2218	10422
702	2221	10420
703	2224	10415
704	2227	10411
705	2230	10406
706	2233	10401
707	2235	10396
708	2238	10390
709	2241	10385
710	2244	10383
711	2247	10377
712	2250	10372
713	2252	10367
714	2255	10363
715	2258	10359
716	2261	10355
717	2264	10351
718	2267	10346
719	2269	10340
720	2272	10335
721	2275	10332
722	2278	10327
723	2281	10323
724	2284	10319
725	2287	10315
726	2290	10310
727	2293	10308
728	2296	10303
729	2298	10298
730	2301	10292
731	2304	10287
732	2307	10282
733	2310	10279
734	2313	10275
735	2316	10271
736	2319	10267
737	2322	10264
738	2325	10261
739	2328	10256
740	2331	10252
741	2333	10247
742	2336	10242
743	2339	10238
744	2342	10234
745	2345	10229
746	2347	10224
747	2350	10219
748	2353	10214
749	2356	10211
750	2359	10206
751	2362	10202
752	2365	10198
753	2368	10194
754	2370	10190
755	2374	10187
756	2377	10183
757	2379	10179
758	2383	10175
759	2386	10172
760	2389	10170
761	2392	10166
762	2395	10162
763	2398	10158
764	2401	10154
765	2404	10151
766	2407	10147
767	2410	10143
768	2413	10138
769	2416	10135
770	2419	10132
771	2422	10128
772	2424	10123
773	2427	10119
774	2430	10115
775	2433	10111
776	2436	10107
777	2439	10103
778	2442	10100
779	2446	10098
780	2448	10093
781	2452	10091
782	2454	10086
783	2457	10081
784	2460	10078
785	2463	10074
786	2466	10071
787	2469	10067
788	2473	10065
789	2476	10062
790	2479	10059
791	2482	10056
792	2486	10054
793	2489	10052
794	2492	10050
795	2496	10047
796	2500	10047
797	2503	10044
798	2506	10043
799	2510	10040
800	2513	10037
801	2516	10035
802	2520	10033
803	2523	10030
804	2526	10027
805	2530	10025
806	2533	10024
807	2536	10021
808	2539	10018
809	2542	10014
810	2546	10012
811	2549	10011
812	2553	10008
813	2556	10005
814	2559	10002
815	2562	10000
816	2566	9998
817	2569	9996
818	2572	9992
819	2575	9989
820	2579	9987
821	2582	9986
822	2586	9983
823	2589	9979
824	2592	9976
825	2595	9974
826	2598	9971
827	2601	9967
828	2604	9963
829	2607	9959
830	2611	9957
831	2614	9954
832	2617	9950
833	2620	9948
834	2623	9945
835	2627	9942
836	2630	9939
837	2633	9935
838	2636	9932
